index,timestamp_iso,lab_acesulfame_ng_l,lab_caffeine_ng_l,lab_cyclamate_ng_l,lab_candesartan_ng_l,lab_citalopram_ng_l,lab_diclofenac_ng_l,lab_hydrochlorthiazide_ng_l,lab_triclosan_ng_l,lab_13-diphenylguanidine_ng_l,lab_6ppd-quinone_ng_l,lab_hmmm_ng_l,lab_24-d_ng_l,lab_carbendazim_ng_l,lab_diuron_ng_l,lab_mcpa_ng_l,lab_mecoprop_ng_l,lab_oit_ng_l,lab_4-&5-methylbenzotriazole_ng_l,lab_benzotriazole_ng_l,lab_deet_ng_l,sampling_method
0,2023-06-21T09:37:00,85010,205080,123094,933,161,3116,960,247,195,<LOQ,226,<LOQ,22,61,<LOQ,218,6,412,2845,4351,M
1,2023-06-21T09:40:00,122843,376005,188306,937,138,3528,995,499,208,<LOQ,242,<LOQ,19,49,<LOQ,213,25,5212,3228,3612,M
2,2023-06-21T09:50:00,113315,323197,187439,895,112,3141,907,443,270,<LOQ,231,<LOQ,127,<LOQ,<LOQ,211,27,4195,2750,3152,M
3,2023-06-21T10:00:00,97318,322988,157038,873,109,2764,865,470,655,20,195,<LOQ,195,<LOQ,<LOQ,175,36,4328,2622,3482,M
4,2023-06-21T10:22:00,57445,198124,104141,623,70,2212,590,281,2293,66,429,<LOQ,68,<LOQ,51,618,33,1478,1970,2304,M
5,2023-06-21T10:30:00,46555,136474,88491,537,60,1670,477,113,2582,85,492,<LOQ,57,<LOQ,<LOQ,844,22,3230,1724,1716,M
6,2023-06-21T10:40:00,27405,94466,58510,435,45,1188,351,112,2553,96,502,<LOQ,41,<LOQ,75,1241,17,3296,1274,1156,M
7,2023-06-21T10:50:00,15780,52784,33488,331,29,856,304,<LOQ,2297,92,509,<LOQ,35,<LOQ,99,1792,13,2321,959,816,M
8,2023-06-21T11:00:00,14442,41495,34857,286,31,728,263,<LOQ,2384,83,497,<LOQ,35,<LOQ,155,3018,11,2231,791,747,M
9,2023-06-21T11:10:00,11324,36333,29201,261,33,668,290,<LOQ,2090,79,498,<LOQ,40,49,219,4289,13,2679,795,703,M
10,2023-06-21T11:20:00,8871,25030,24338,272,34,815,277,<LOQ,1983,73,495,<LOQ,41,77,274,5244,28,7369,789,721,M
11,2023-06-21T11:30:00,9641,34010,25667,329,40,844,292,<LOQ,1745,73,459,<LOQ,49,89,379,7328,23,4016,858,816,M
12,2023-06-21T11:40:00,9623,31859,25366,340,47,893,297,<LOQ,1582,71,471,<LOQ,52,82,360,8692,31,4440,906,1112,M
13,2023-06-21T11:50:00,13455,66975,27790,467,55,752,348,107,1334,52,430,329,50,81,844,11647,19,2574,1519,1105,M
14,2023-06-21T12:00:00,8576,51636,14411,421,64,1140,403,155,1379,46,415,1154,98,78,1862,14670,22,2218,1856,1775,M
15,2023-06-21T12:10:00,20504,122811,40385,419,71,1572,436,141,1103,43,408,955,76,67,1668,15730,40,1813,2588,2120,M
16,2023-06-21T12:20:00,20619,128659,35659,428,77,1781,455,144,1058,38,480,736,68,64,1304,16608,85,3249,3050,2400,M
17,2023-06-21T12:30:00,34465,255840,48565,534,86,2078,474,206,1075,42,431,580,61,56,1157,16704,76,3553,3198,2537,M
18,2023-06-21T12:40:00,22437,140856,27917,583,75,1896,586,206,1098,44,379,366,70,52,894,15795,84,5655,2912,3123,M
19,2023-06-21T12:50:00,30578,181103,54657,683,101,2224,734,225,1169,42,364,243,77,47,774,15032,21,4580,2441,3109,M
20,2023-06-21T13:00:00,23603,130193,50760,659,68,2312,1121,97,1153,38,393,208,76,<LOQ,770,14982,26,2535,2248,3153,M
21,2023-10-14T08:44:00,25177,24695,28086,506,95,1455,623,184,393,<LOQ,144,<LOQ,<LOQ,280,<LOQ,40,<LOQ,10260,2344,300,M
22,2023-10-14T08:54:00,23584,18358,26398,890,96,1672,899,<LOQ,1210,<LOQ,756,<LOQ,<LOQ,354,<LOQ,92,<LOQ,3464,3767,476,M
23,2023-10-14T09:04:00,11151,9023,15365,383,<LOQ,869,331,<LOQ,750,<LOQ,369,<LOQ,<LOQ,175,<LOQ,38,<LOQ,977,972,246,M
24,2023-10-14T09:14:00,7118,6151,11388,307,<LOQ,750,239,158,720,32,267,<LOQ,<LOQ,122,<LOQ,34,<LOQ,755,848,240,M
25,2023-10-14T09:24:00,12218,28564,12631,256,<LOQ,874,191,362,1055,<LOQ,192,<LOQ,<LOQ,105,<LOQ,42,<LOQ,770,890,1328,M
26,2023-10-14T09:34:00,6995,6227,10916,258,<LOQ,612,175,133,725,39,232,<LOQ,<LOQ,113,<LOQ,43,<LOQ,530,972,406,M
27,2023-10-14T09:44:00,5859,5113,8955,220,<LOQ,501,157,<LOQ,777,40,233,<LOQ,<LOQ,129,<LOQ,55,<LOQ,473,636,608,M
28,2023-10-14T09:54:00,9536,11207,14669,260,<LOQ,675,231,168,928,48,286,<LOQ,<LOQ,249,<LOQ,75,<LOQ,684,1123,579,M
29,2023-10-14T10:04:00,6276,9630,12256,195,<LOQ,550,154,<LOQ,915,37,220,<LOQ,<LOQ,167,<LOQ,69,<LOQ,1006,482,295,M
30,2023-10-14T10:14:00,9332,13532,14639,271,<LOQ,869,237,<LOQ,1323,52,269,<LOQ,<LOQ,212,<LOQ,117,<LOQ,895,732,331,M
31,2023-10-14T10:24:00,8471,11941,15613,232,<LOQ,814,178,<LOQ,825,35,186,<LOQ,<LOQ,130,<LOQ,88,<LOQ,593,609,212,M
32,2023-10-14T10:34:00,11953,19865,26836,342,<LOQ,2201,262,<LOQ,996,39,236,<LOQ,<LOQ,210,<LOQ,175,<LOQ,997,2586,340,M
33,2023-10-14T10:44:00,24263,35763,49503,465,<LOQ,1700,307,<LOQ,893,32,232,<LOQ,<LOQ,186,<LOQ,191,<LOQ,641,989,392,M
34,2023-10-14T10:54:00,10997,25247,24286,391,<LOQ,1978,289,128,595,<LOQ,248,<LOQ,<LOQ,155,<LOQ,259,<LOQ,480,1050,364,M
35,2023-10-14T11:04:00,12407,28101,29540,425,115,2016,367,<LOQ,697,<LOQ,193,<LOQ,<LOQ,181,<LOQ,380,<LOQ,604,6888,477,M
36,2023-10-14T11:14:00,11188,27220,27076,664,127,3401,677,119,879,<LOQ,268,<LOQ,<LOQ,251,77,711,<LOQ,1798,2224,904,M
37,2023-10-20T13:00:00,15708,42584,20965,433,69,1666,646,<LOQ,329,<LOQ,126,<LOQ,<LOQ,19318,<LOQ,70,400,1397,2573,1386,M
38,2023-10-20T13:10:00,21353,49761,24410,429,100,1865,618,150,194,<LOQ,109,<LOQ,<LOQ,18219,<LOQ,61,919,727,2114,1250,M
39,2023-10-20T13:20:00,30662,56920,34789,404,58,1781,795,<LOQ,252,<LOQ,133,<LOQ,<LOQ,23158,<LOQ,74,468,729,2147,1243,M
40,2023-10-20T13:30:00,27570,59037,41233,325,76,1627,697,<LOQ,211,<LOQ,137,<LOQ,<LOQ,14808,<LOQ,66,381,522,1867,796,M
41,2023-10-20T13:40:00,47242,101477,83979,512,68,2700,995,129,399,<LOQ,288,<LOQ,<LOQ,15869,<LOQ,220,206,2835,3012,1178,M
42,2023-10-20T13:50:00,24064,63898,42798,687,76,2002,824,<LOQ,602,<LOQ,390,<LOQ,<LOQ,8493,<LOQ,136,161,2478,2571,920,M
43,2023-10-20T14:00:00,33664,84285,54765,573,65,2217,761,<LOQ,865,<LOQ,549,<LOQ,<LOQ,6266,<LOQ,117,120,1977,2495,954,M
44,2023-10-20T14:10:00,25608,63729,44242,450,47,1395,532,<LOQ,934,<LOQ,542,<LOQ,<LOQ,3535,<LOQ,73,<LOQ,1235,1896,981,M
45,2023-10-20T14:20:00,35077,108716,61830,516,54,1759,764,<LOQ,1592,<LOQ,976,<LOQ,<LOQ,3440,<LOQ,98,<LOQ,1465,3295,1643,M
46,2023-10-20T14:30:00,28786,74004,50902,444,53,1421,717,<LOQ,1700,<LOQ,976,<LOQ,<LOQ,2274,<LOQ,88,<LOQ,1151,4245,1529,M
47,2023-10-20T14:40:00,24653,64187,40268,431,48,1364,625,<LOQ,1733,40,1264,<LOQ,<LOQ,1559,<LOQ,84,<LOQ,1243,3986,1463,M
48,2023-10-20T14:50:00,20993,48561,34024,306,<LOQ,841,521,<LOQ,1975,58,854,<LOQ,<LOQ,974,<LOQ,63,<LOQ,1082,3262,1036,M
49,2023-10-20T15:00:00,20746,47299,33828,426,50,1110,660,<LOQ,2392,59,1178,<LOQ,<LOQ,838,<LOQ,80,<LOQ,1233,4501,1083,M
50,2023-10-20T15:10:00,11279,25948,16820,211,<LOQ,722,383,<LOQ,1625,56,788,<LOQ,<LOQ,416,<LOQ,56,<LOQ,621,2157,634,M
51,2023-10-20T15:20:00,12992,26164,22397,261,<LOQ,1078,462,<LOQ,1987,58,777,<LOQ,<LOQ,356,<LOQ,75,<LOQ,648,2191,657,M
52,2023-10-20T15:30:00,14538,31840,22715,340,<LOQ,1373,701,<LOQ,2195,64,1145,<LOQ,<LOQ,385,<LOQ,89,<LOQ,776,2838,1163,M
53,2023-10-20T15:40:00,14215,28160,22791,281,<LOQ,1188,690,<LOQ,1815,61,862,<LOQ,<LOQ,294,<LOQ,84,<LOQ,995,2315,1355,M
54,2023-10-20T15:50:00,15768,31949,21419,273,<LOQ,1425,669,<LOQ,2380,67,1379,<LOQ,<LOQ,252,<LOQ,101,<LOQ,1008,2387,1742,M
55,2023-10-20T16:00:00,15685,34634,23285,283,50,1391,619,<LOQ,2328,59,1410,<LOQ,<LOQ,391,<LOQ,106,<LOQ,1141,2567,1773,M
56,2023-10-20T16:10:00,11926,15404,18062,202,<LOQ,1025,451,<LOQ,2335,64,1247,<LOQ,<LOQ,378,<LOQ,86,<LOQ,1225,1879,1622,M
57,2023-10-20T16:20:00,10359,16344,15736,214,<LOQ,1074,475,<LOQ,1777,60,1051,<LOQ,<LOQ,325,<LOQ,82,<LOQ,967,1801,1772,M
58,2023-10-20T16:30:00,9798,19955,15243,190,<LOQ,865,443,<LOQ,1978,59,892,<LOQ,<LOQ,269,<LOQ,77,<LOQ,710,1261,2321,M
59,2023-10-20T16:40:00,14484,21003,20965,148,<LOQ,774,433,<LOQ,1676,64,905,<LOQ,<LOQ,244,<LOQ,77,<LOQ,581,1213,2371,M
60,2023-10-24T10:00:00,152831,202736,242025,927,118,6641,925,<LOQ,347,19,<LOQ,<LOQ,<LOQ,1828,<LOQ,<LOQ,55,491,2873,731,M
61,2023-10-24T10:30:00,95734,152122,166267,1337,119,6107,1124,<LOQ,1003,<LOQ,10541,<LOQ,12,989,<LOQ,<LOQ,59,1078,4082,1736,M
62,2023-10-24T10:40:00,67838,117231,145589,1295,108,5483,1254,<LOQ,780,<LOQ,5866,<LOQ,14,630,<LOQ,<LOQ,41,4681,6950,1225,M
63,2023-10-24T10:50:00,23070,50361,57565,605,72,2193,698,<LOQ,289,<LOQ,1758,<LOQ,<LOQ,674,<LOQ,<LOQ,37,1129,1790,626,M
64,2023-10-24T11:00:00,66061,103132,105224,921,92,3961,1211,<LOQ,403,<LOQ,2035,<LOQ,<LOQ,2041,<LOQ,<LOQ,68,1599,3807,840,M
65,2023-10-24T11:10:00,63835,68242,67121,546,76,2873,675,<LOQ,463,<LOQ,945,<LOQ,<LOQ,1664,<LOQ,<LOQ,48,1125,1896,487,M
66,2023-10-24T11:20:00,74787,75859,94191,573,84,2258,601,<LOQ,1055,17,1242,<LOQ,<LOQ,1540,<LOQ,<LOQ,39,1185,2026,440,M
67,2023-10-24T11:30:00,85588,81499,108851,604,69,2183,623,<LOQ,2063,34,1723,<LOQ,<LOQ,1391,<LOQ,<LOQ,33,1239,2065,560,M
68,2023-10-24T11:40:00,35055,38141,42089,293,46,934,251,<LOQ,1972,42,1148,<LOQ,<LOQ,596,<LOQ,<LOQ,25,671,931,326,M
69,2023-10-24T11:50:00,39557,40508,54962,341,39,1125,315,<LOQ,2462,60,1532,67,<LOQ,710,<LOQ,77,30,811,1545,360,M
70,2023-10-24T12:00:00,52151,60758,88226,844,53,1499,519,<LOQ,4660,89,2346,141,14,891,<LOQ,158,41,1069,2164,667,M
71,2023-10-24T12:10:00,18463,27322,28525,280,28,456,240,<LOQ,2224,63,892,<LOQ,<LOQ,353,<LOQ,67,15,686,869,257,M
72,2023-10-24T12:20:00,22211,73789,36154,407,25,519,300,<LOQ,2508,61,1042,<LOQ,<LOQ,429,<LOQ,92,15,1835,1157,316,M
73,2023-10-24T12:30:00,11150,44486,17451,162,25,284,193,<LOQ,1513,57,471,<LOQ,<LOQ,240,<LOQ,<LOQ,15,1181,565,165,M
74,2023-10-24T12:40:00,12199,52496,18647,181,21,330,185,<LOQ,1366,52,441,<LOQ,<LOQ,243,<LOQ,<LOQ,14,1075,984,195,M
75,2023-10-24T12:50:00,17107,66465,23073,187,26,379,226,<LOQ,1593,57,584,<LOQ,<LOQ,285,<LOQ,68,20,1147,1376,225,M
76,2023-10-24T13:00:00,20466,99847,36105,246,31,432,272,<LOQ,1909,63,625,<LOQ,<LOQ,343,<LOQ,68,19,1174,1425,225,M
77,2023-10-24T13:10:00,23962,67741,34982,171,29,362,240,<LOQ,1495,57,528,<LOQ,<LOQ,281,<LOQ,64,19,840,1103,289,M
78,2023-10-24T13:20:00,41437,114761,60229,276,40,560,378,<LOQ,2105,62,774,<LOQ,<LOQ,412,<LOQ,91,30,945,1442,625,M
79,2023-10-24T13:30:00,62586,197577,98525,444,43,863,539,<LOQ,2711,68,1020,<LOQ,<LOQ,464,<LOQ,126,39,1049,2347,940,M
80,2023-10-24T13:40:00,55823,224814,83951,332,45,678,472,<LOQ,1679,60,849,<LOQ,<LOQ,387,<LOQ,105,35,795,1997,698,M
81,2023-10-24T13:50:00,44248,206336,74721,287,41,610,446,<LOQ,1249,58,578,<LOQ,<LOQ,316,<LOQ,78,31,566,1670,439,M
82,2023-10-24T14:00:00,58366,261687,100700,420,38,828,615,<LOQ,1088,47,663,<LOQ,<LOQ,412,<LOQ,101,23,712,2144,451,M
83,2023-10-24T14:10:00,76298,376726,142239,724,54,927,810,<LOQ,1196,53,1243,<LOQ,<LOQ,533,<LOQ,124,26,1029,2932,461,M
84,2023-10-24T14:20:00,47597,234817,80740,634,46,531,476,<LOQ,837,42,922,<LOQ,<LOQ,365,<LOQ,79,18,555,1840,285,M
85,2023-10-24T14:30:00,84375,272726,137295,812,60,816,842,<LOQ,1183,46,1247,<LOQ,<LOQ,590,<LOQ,122,34,739,3315,712,M